file_name,text,speaker_id,is_common,sentence_index,processed_file_name,sample_rate
Speaker0_00.m4a,Bugün hava oldukça sakin.,0,1,0,Speaker0_00.wav,16000
Speaker0_01.m4a,Toplantı saatini üç buçuğa erteledim.,0,1,1,Speaker0_01.wav,16000
Speaker0_02.m4a,Yoğun trafik nedeniyle otobüs yarım saatten fazla gecikti.,0,1,2,Speaker0_02.wav,16000
Speaker0_03.m4a,Bu dosyayı ne zaman teslim etmemiz gerekiyor?,0,1,3,Speaker0_03.wav,16000
Speaker0_04.m4a,"E-posta adresimi yanlış yazmış olabilirim, tekrar kontrol eder misin?",0,1,4,Speaker0_04.wav,16000
Speaker0_05.m4a,Projede hangi yöntemi kullanacağımıza henüz karar vermedik.,0,0,5,Speaker0_05.wav,16000
Speaker0_06.m4a,Yeni aldığım kulaklıkla müzik dinlerken ses kalitesini çok beğendim.,0,0,6,Speaker0_06.wav,16000
Speaker0_07.m4a,Bugün yoğunluktan dolayı kahvemi bile bitiremedim.,0,0,7,Speaker0_07.wav,16000
Speaker0_08.m4a,Akşam yaptığımız toplantı beklentimden daha verimli geçti.,0,0,8,Speaker0_08.wav,16000
Speaker0_09.m4a,Kütüphaneye giderken yolun kapalı olduğunu görünce başka bir rota seçtim.,0,0,9,Speaker0_09.wav,16000
Speaker1_00.m4a,Bugün hava oldukça sakin.,1,1,0,Speaker1_00.wav,16000
Speaker1_01.m4a,Toplantı saatini üç buçuğa erteledim.,1,1,1,Speaker1_01.wav,16000
Speaker1_02.m4a,Yoğun trafik nedeniyle otobüs yarım saatten fazla gecikti.,1,1,2,Speaker1_02.wav,16000
Speaker1_03.m4a,Bu dosyayı ne zaman teslim etmemiz gerekiyor?,1,1,3,Speaker1_03.wav,16000
Speaker1_04.m4a,"E-posta adresimi yanlış yazmış olabilirim, tekrar kontrol eder misin?",1,1,4,Speaker1_04.wav,16000
Speaker1_05.m4a,Bu hafta programım çok yoğun olduğu için dinlenmeye pek vakit bulamadım.,1,0,5,Speaker1_05.wav,16000
Speaker1_06.m4a,Yeni aldığım kitabı okumaya başladım ve konusu beklediğimden daha sürükleyici.,1,0,6,Speaker1_06.wav,16000
Speaker1_07.m4a,Markete gitmeden önce ihtiyaç listesini tekrar kontrol ettim.,1,0,7,Speaker1_07.wav,16000
Speaker1_08.m4a,Yarınki sunuma hazırlanmak için biraz daha pratik yapmam gerekiyor.,1,0,8,Speaker1_08.wav,16000
Speaker1_09.m4a,Bugün yapmam gereken işler sandığımdan daha uzun sürdü.,1,0,9,Speaker1_09.wav,16000
Speaker2_00.m4a,Bugün hava oldukça sakin.,2,1,0,Speaker2_00.wav,16000
Speaker2_01.m4a,Toplantı saatini üç buçuğa erteledim.,2,1,1,Speaker2_01.wav,16000
Speaker2_02.m4a,Yoğun trafik nedeniyle otobüs yarım saatten fazla gecikti.,2,1,2,Speaker2_02.wav,16000
Speaker2_03.m4a,Bu dosyayı ne zaman teslim etmemiz gerekiyor?,2,1,3,Speaker2_03.wav,16000
Speaker2_04.m4a,"E-posta adresimi yanlış yazmış olabilirim, tekrar kontrol eder misin?",2,1,4,Speaker2_04.wav,16000
Speaker2_05.m4a,Dışarı çıkmadan önce havanın yağmur ihtimaline bakmayı unuttum.,2,0,5,Speaker2_05.wav,16000
Speaker2_06.m4a,Bu sabah alarm çalmadığı için aceleyle hazırlanmak zorunda kaldım.,2,0,6,Speaker2_06.wav,16000
Speaker2_07.m4a,Yeni bir dil öğrenmek her zaman bana heyecan veriyor.,2,0,7,Speaker2_07.wav,16000
Speaker2_08.m4a,Ders notlarını düzenlemek düşündüğümden daha uzun sürdü.,2,0,8,Speaker2_08.wav,16000
Speaker2_09.m4a,"Bugün çok rüzgâr vardı, o yüzden dışarıda yürümek biraz zordu.",2,0,9,Speaker2_09.wav,16000
Speaker3_00.m4a,Bugün hava oldukça sakin.,3,1,0,Speaker3_00.wav,16000
Speaker3_01.m4a,Toplantı saatini üç buçuğa erteledim.,3,1,1,Speaker3_01.wav,16000
Speaker3_02.m4a,Yoğun trafik nedeniyle otobüs yarım saatten fazla gecikti.,3,1,2,Speaker3_02.wav,16000
Speaker3_03.m4a,Bu dosyayı ne zaman teslim etmemiz gerekiyor?,3,1,3,Speaker3_03.wav,16000
Speaker3_04.m4a,"E-posta adresimi yanlış yazmış olabilirim, tekrar kontrol eder misin?",3,1,4,Speaker3_04.wav,16000
Speaker3_05.m4a,Sabah kahvemi içmeden güne başlayamıyorum.,3,0,5,Speaker3_05.wav,16000
Speaker3_06.m4a,Bu projeyi yetiştirmek biraz stresli olacak gibi.,3,0,6,Speaker3_06.wav,16000
Speaker3_07.m4a,Telefonumun bataryası son günlerde çok hızlı tükeniyor.,3,0,7,Speaker3_07.wav,16000
Speaker3_08.m4a,Bu hafta sonu ailemi ziyarete gitmeyi planlıyorum.,3,0,8,Speaker3_08.wav,16000
Speaker3_09.m4a,Yeni yılda düzenli spor yapmaya kesin olarak karar verdim.,3,0,9,Speaker3_09.wav,16000
Speaker4_00.m4a,Bugün hava oldukça sakin.,4,1,0,Speaker4_00.wav,16000
Speaker4_01.m4a,Toplantı saatini üç buçuğa erteledim.,4,1,1,Speaker4_01.wav,16000
Speaker4_02.m4a,Yoğun trafik nedeniyle otobüs yarım saatten fazla gecikti.,4,1,2,Speaker4_02.wav,16000
Speaker4_03.m4a,Bu dosyayı ne zaman teslim etmemiz gerekiyor?,4,1,3,Speaker4_03.wav,16000
Speaker4_04.m4a,"E-posta adresimi yanlış yazmış olabilirim, tekrar kontrol eder misin?",4,1,4,Speaker4_04.wav,16000
Speaker4_05.m4a,Sabah erkenden kalktığım hâlde işlerimi yetiştiremedim.,4,0,5,Speaker4_05.wav,16000
Speaker4_06.m4a,Bugün yeni bir tarif denemek istiyorum ama malzemeler eksik.,4,0,6,Speaker4_06.wav,16000
Speaker4_07.m4a,Telefonumun hafızası dolduğu için bazı dosyaları silmem gerekecek.,4,0,7,Speaker4_07.wav,16000
Speaker4_08.m4a,Toplantıya geç kalmamak için biraz hızlı yürümek zorunda kaldım.,4,0,8,Speaker4_08.wav,16000
Speaker4_09.m4a,Akşam için plan yaptık ama hâlâ saat konusunda karar veremedik.,4,0,9,Speaker4_09.wav,16000
